Week,Goud,Overig,Bankkredieten,Opkoopprogramma's
1/1/1999,99598,390792,185120,21650
1/2/1999,99589,390041,182912,22096
1/3/1999,99589,382334,186437,24281
1/4/1999,115676,431703,201733,25309
1/5/1999,105323,392563,174322,26088
1/6/1999,105323,388794,185070,25873
1/7/1999,101753,396986,198094,25882
1/8/1999,101754,398184,214012,25775
1/9/1999,101754,401788,197748,25838
1/10/1999,114988,398394,192534,24700
1/11/1999,114988,398915,205293,23428
1/12/1999,114986,396010,212237,23931
1/1/2000,116612,412980,250079,23521
1/2/2000,116295,415703,216714,24037
1/3/2000,115945,418533,218321,24850
1/4/2000,115676,431703,201733,25309
1/5/2000,115677,432437,209911,24937
1/6/2000,115677,432230,201957,25030
1/7/2000,121188,431666,234528,25086
1/8/2000,120911,428102,226277,25435
1/9/2000,120911,425064,231172,25271
1/10/2000,124948,445434,230305,25623
1/11/2000,124947,445035,225430,25869
1/12/2000,124947,438326,245234,26077
1/1/2001,117073,423386,268648,25958
1/2/2001,118611,450928,238202,27474
1/3/2001,118612,448355,237017,27555
1/4/2001,118464,457333,244282,27880
1/5/2001,118464,456794,236228,27786
1/6/2001,118464,457585,226403,27979
1/7/2001,128512,470389,236201,27665
1/8/2001,128381,470553,225035,28136
1/9/2001,128302,463233,213483,28371
1/10/2001,128236,447003,213410,28715
1/11/2001,128233,451893,187030,28498
1/12/2001,128233,452896,201288,28273
1/1/2002,126801,456283,203597,27981
1/2/2002,126801,454669,201055,27601
1/3/2002,126801,451168,183030,29172
1/4/2002,139808,453224,192716,29153
1/5/2002,139502,445165,169031,30135
1/6/2002,139419,445603,178381,29930
1/7/2002,128323,421083,200958,30481
1/8/2002,128323,418754,194032,30482
1/9/2002,128323,414120,197034,31361
1/10/2002,128322,418912,194085,31503
1/11/2002,131157,426166,190072,32264
1/12/2002,131106,426024,206092,33242
1/1/2003,130739,411312,225117,27824
1/2/2003,130641,407845,219190,29054
1/3/2003,130314,403665,223186,33484
1/4/2003,130314,398162,232049,38149
1/5/2003,122274,389793,207989,40295
1/6/2003,122246,389543,247352,42294
1/7/2003,122244,389295,257883,44146
1/8/2003,119993,383935,252077,46937
1/9/2003,119785,382473,264053,48499
1/10/2003,130822,382322,249311,51157
1/11/2003,130769,382780,252050,53007
1/12/2003,130438,378962,270312,53627
1/1/2004,130344,348607,298047,61323
1/2/2004,130344,351397,279024,63627
1/3/2004,130343,343245,283903,66533
1/4/2004,136529,349083,293004,68467
1/5/2004,136529,350907,295059,71043
1/6/2004,136160,350091,308166,72833
1/7/2004,127418,350556,331002,73383
1/8/2004,127382,355877,333003,67487
1/9/2004,127382,352314,329003,67904
1/10/2004,130657,350232,334021,67384
1/11/2004,130581,351711,343015,68471
1/12/2004,130310,355301,348649,71215
1/1/2005,125730,343146,345113,70244
1/2/2005,125558,343618,353005,72601
1/3/2005,125228,343719,369509,75393
1/4/2005,128058,352628,366751,79717
1/5/2005,127431,356741,370512,79795
1/6/2005,127116,357849,371994,83191
1/7/2005,138451,366057,398187,85746
1/8/2005,138078,366055,407007,85656
1/9/2005,137829,367486,383019,88666
1/10/2005,149882,371298,384014,90850
1/11/2005,149170,370543,391476,92315
1/12/2005,148551,374965,396512,93510
1/1/2006,163881,375937,405967,92367
1/2/2006,163747,381076,390020,95530
1/3/2006,163356,385393,411544,95472
