Week,Goud,Overig,Liquiditeitsoperaties aan banken,Opkoopprogramma's
05/01/1999,99598,390792,185120,21650
12/01/1999,99598,389847,174769,20914
19/01/1999,99589,392922,173146,21335
26/01/1999,99589,390952,155287,21794
02/02/1999,99589,390041,182912,22096
09/02/1999,99589,387478,177831,22549
16/02/1999,99589,384144,173248,23255
23/02/1999,99589,384907,173527,23868
02/03/1999,99589,382334,186437,24281
09/03/1999,99589,382989,190857,24638
16/03/1999,99589,380087,188013,25365
23/03/1999,99589,378366,165292,25036
30/03/1999,99589,381479,192221,26107
06/04/1999,115676,431703,201733,25309
13/04/1999,105323,395408,152226,26511
20/04/1999,105323,393901,180495,25871
27/04/1999,105323,391670,168543,26181
04/05/1999,105323,392563,174322,26088
11/05/1999,105323,394570,166184,26047
18/05/1999,105323,390114,166060,26030
25/05/1999,105323,392089,167728,25945
01/06/1999,105323,388794,185070,25873
08/06/1999,105307,390482,184680,25957
15/06/1999,105307,390733,174876,26137
22/06/1999,105307,389871,170664,25929
29/06/1999,105307,393608,170641,26088
06/07/1999,101753,396986,198094,25882
13/07/1999,101753,396986,198094,25882
20/07/1999,101753,400348,193768,25700
27/07/1999,101754,399981,194138,26009
03/08/1999,101754,398184,214012,25775
10/08/1999,101754,400540,194731,25939
17/08/1999,101754,398602,189871,26033
24/08/1999,101754,398643,186895,26087
31/08/1999,101754,401096,205150,25966
07/09/1999,101754,401788,197748,25838
14/09/1999,101754,400034,193931,25551
21/09/1999,101754,402340,188657,25163
28/09/1999,101754,402974,198458,25414
05/10/1999,114988,398394,192534,24700
12/10/1999,114988,398695,191099,24631
19/10/1999,114988,399232,185829,24309
26/10/1999,114988,399149,171707,24102
02/11/1999,114988,398915,205293,23428
09/11/1999,114988,402803,195860,23490
16/11/1999,114988,398811,196193,23856
23/11/1999,114988,397066,198821,24123
30/11/1999,114987,395617,208995,23896
07/12/1999,114986,396010,212237,23931
14/12/1999,114955,395610,230117,24055
21/12/1999,114836,399556,214957,23868
28/12/1999,114745,396510,225423,23991
04/01/2000,116612,412980,250079,23521
11/01/2000,116612,412868,238670,23701
18/01/2000,116512,414788,181388,23797
25/01/2000,116304,413540,191454,23993
01/02/2000,116295,415703,216714,24037
08/02/2000,116248,419575,202290,24363
15/02/2000,116071,419892,199257,24205
22/02/2000,116000,419706,196077,24071
29/02/2000,115946,418376,193309,24576
07/03/2000,115945,418533,218321,24850
14/03/2000,115945,417199,201929,24916
21/03/2000,115945,418728,197820,24695
28/03/2000,115945,417151,202874,25208
04/04/2000,115676,431703,201733,25309
11/04/2000,115677,432251,197546,24954
18/04/2000,115677,433892,190999,25034
25/04/2000,115677,434802,201782,24944
02/05/2000,115677,432437,209911,24937
09/05/2000,115677,431287,214169,25347
16/05/2000,115677,430307,196865,25225
23/05/2000,115677,436522,198601,25103
30/05/2000,115677,432941,205413,25191
06/06/2000,115677,432230,201957,25030
13/06/2000,115677,430928,198214,25163
20/06/2000,115677,429915,204375,24852
27/06/2000,115677,429467,206453,25171
04/07/2000,121188,431666,234528,25086
11/07/2000,120911,429100,218320,25149
18/07/2000,120911,427751,217434,25083
25/07/2000,120911,428045,212425,25310
01/08/2000,120911,428102,226277,25435
08/08/2000,120911,427456,218337,25382
15/08/2000,120911,426255,211125,25487
22/08/2000,120911,427708,220131,25539
29/08/2000,120911,427868,222715,25474
05/09/2000,120911,425064,231172,25271
12/09/2000,120911,425133,226322,25400
19/09/2000,120911,425038,221510,25324
26/09/2000,120911,422239,219766,25594
03/10/2000,124948,445434,230305,25623
10/10/2000,124948,445643,225352,25678
17/10/2000,124948,445562,220315,25497
24/10/2000,124947,444585,214625,25639
31/10/2000,124947,442804,228509,25826
07/11/2000,124947,445035,225430,25869
14/11/2000,124947,440484,230418,26069
21/11/2000,124947,437601,230467,25941
28/11/2000,124947,438804,243319,26033
05/12/2000,124947,438326,245234,26077
12/12/2000,124947,439756,265329,25936
19/12/2000,124947,439213,264536,25685
26/12/2000,124947,438519,259304,25840
02/01/2001,117073,423386,268648,25958
09/01/2001,118615,448171,248106,28859
16/01/2001,118611,447890,241060,29221
23/01/2001,118611,451446,241137,29016
30/01/2001,118611,451480,255203,28168
06/02/2001,118611,450928,238202,27474
13/02/2001,118612,449352,234240,27533
20/02/2001,118612,450196,215455,27358
27/02/2001,118612,451511,273967,27499
06/03/2001,118612,448355,237017,27555
13/03/2001,118612,447152,225058,27368
20/03/2001,118612,444566,249571,27363
27/03/2001,118612,445329,241408,27428
